Preprocessing,Linear,Linear,Linear,Linear,Linear,Linear,Linear,Log Norm,Log Norm,Log Norm,Log Norm,Log Norm,Log Norm,Log Norm,Hist Eq,Hist Eq,Hist Eq,Hist Eq,Hist Eq,Hist Eq,Hist Eq,CLAHE,CLAHE,CLAHE,CLAHE,CLAHE,CLAHE,CLAHE,Gauss+Sharpen,Gauss+Sharpen,Gauss+Sharpen,Gauss+Sharpen,Gauss+Sharpen,Gauss+Sharpen,Gauss+Sharpen,Gamma(0.5),Gamma(0.5),Gamma(0.5),Gamma(0.5),Gamma(0.5),Gamma(0.5),Gamma(0.5)
Detector,sift,orb,akaze,kaze,brisk,fast_brief,fast_freak,sift,orb,akaze,kaze,brisk,fast_brief,fast_freak,sift,orb,akaze,kaze,brisk,fast_brief,fast_freak,sift,orb,akaze,kaze,brisk,fast_brief,fast_freak,sift,orb,akaze,kaze,brisk,fast_brief,fast_freak,sift,orb,akaze,kaze,brisk,fast_brief,fast_freak
cap_00.tiff,4.0,6.0,6.0,12.0,6.0,1.0,2.0,7.0,5.0,2.0,17.0,3.0,1.0,2.0,14.0,5.0,1.0,17.0,1.0,1.0,4.0,10.0,8.0,7.0,18.0,4.0,2.0,5.0,11.0,11.0,7.0,15.0,10.0,4.0,7.0,6.0,10.0,5.0,12.0,4.0,2.0,4.0
cap_01.tiff,5.0,8.0,6.0,11.0,5.0,3.0,3.0,10.0,8.0,1.0,18.0,4.0,2.0,3.0,18.0,9.0,0.0,14.0,7.0,5.0,7.0,9.0,7.0,7.0,26.0,7.0,2.0,3.0,5.0,11.0,7.0,19.0,6.0,7.0,8.0,5.0,9.0,4.0,16.0,4.0,3.0,4.0
cap_02.tiff,4.0,11.0,7.0,17.0,6.0,6.0,7.0,5.0,6.0,1.0,19.0,2.0,1.0,2.0,16.0,10.0,2.0,12.0,1.0,4.0,9.0,9.0,11.0,9.0,23.0,9.0,5.0,7.0,8.0,12.0,8.0,20.0,7.0,7.0,8.0,8.0,11.0,5.0,18.0,9.0,6.0,6.0
cap_03.tiff,5.0,7.0,6.0,17.0,3.0,5.0,7.0,5.0,8.0,2.0,14.0,3.0,2.0,3.0,18.0,5.0,1.0,6.0,2.0,2.0,14.0,11.0,11.0,10.0,24.0,8.0,5.0,5.0,9.0,11.0,7.0,15.0,7.0,8.0,10.0,7.0,11.0,5.0,14.0,4.0,7.0,7.0
cap_04.tiff,5.0,9.0,6.0,16.0,3.0,5.0,6.0,6.0,2.0,1.0,16.0,1.0,1.0,1.0,18.0,9.0,0.0,6.0,53.0,3.0,8.0,11.0,4.0,7.0,20.0,2.0,4.0,4.0,8.0,8.0,6.0,17.0,7.0,5.0,7.0,7.0,3.0,6.0,18.0,3.0,3.0,3.0
cap_05.tiff,5.0,6.0,5.0,11.0,3.0,7.0,8.0,9.0,3.0,1.0,16.0,0.0,1.0,1.0,32.0,10.0,2.0,11.0,91.0,6.0,20.0,10.0,6.0,7.0,27.0,0.0,5.0,5.0,8.0,6.0,6.0,14.0,4.0,6.0,6.0,7.0,5.0,7.0,21.0,2.0,4.0,4.0
cap_06.tiff,8.0,6.0,8.0,27.0,4.0,6.0,8.0,12.0,2.0,3.0,30.0,2.0,1.0,1.0,44.0,10.0,4.0,22.0,82.0,11.0,21.0,8.0,9.0,11.0,44.0,4.0,7.0,8.0,10.0,9.0,9.0,33.0,7.0,8.0,10.0,11.0,7.0,8.0,35.0,2.0,5.0,5.0
cap_07.tiff,6.0,2.0,12.0,31.0,2.0,6.0,7.0,14.0,1.0,4.0,27.0,0.0,1.0,1.0,35.0,4.0,1.0,19.0,6.0,9.0,38.0,12.0,1.0,12.0,50.0,1.0,4.0,4.0,9.0,4.0,11.0,38.0,4.0,6.0,7.0,10.0,0.0,6.0,35.0,2.0,3.0,3.0
cap_08.tiff,8.0,7.0,9.0,32.0,7.0,8.0,8.0,11.0,1.0,3.0,33.0,1.0,2.0,2.0,23.0,11.0,1.0,22.0,3.0,3.0,17.0,14.0,4.0,14.0,47.0,6.0,4.0,5.0,12.0,8.0,9.0,38.0,10.0,10.0,10.0,7.0,5.0,8.0,38.0,4.0,4.0,4.0
cap_09.tiff,9.0,6.0,5.0,24.0,3.0,8.0,8.0,11.0,3.0,1.0,24.0,1.0,2.0,2.0,21.0,20.0,2.0,21.0,4.0,4.0,5.0,17.0,7.0,7.0,36.0,3.0,7.0,7.0,11.0,6.0,6.0,28.0,5.0,7.0,9.0,15.0,8.0,6.0,30.0,2.0,5.0,5.0
cap_10.tiff,5.0,5.0,6.0,17.0,2.0,7.0,7.0,9.0,0.0,2.0,16.0,1.0,1.0,1.0,24.0,6.0,2.0,21.0,4.0,4.0,15.0,16.0,4.0,5.0,33.0,4.0,5.0,6.0,9.0,6.0,5.0,23.0,4.0,6.0,7.0,12.0,3.0,5.0,19.0,1.0,4.0,4.0
cap_11.tiff,7.0,5.0,6.0,18.0,2.0,4.0,4.0,9.0,3.0,4.0,14.0,1.0,1.0,1.0,31.0,6.0,1.0,17.0,1.0,2.0,13.0,14.0,11.0,9.0,34.0,4.0,6.0,6.0,11.0,9.0,7.0,22.0,7.0,7.0,8.0,9.0,5.0,6.0,15.0,3.0,3.0,3.0
cap_12.tiff,6.0,11.0,6.0,16.0,4.0,5.0,6.0,8.0,4.0,2.0,17.0,4.0,1.0,1.0,24.0,11.0,1.0,17.0,9.0,6.0,10.0,19.0,16.0,9.0,36.0,11.0,10.0,10.0,11.0,11.0,8.0,22.0,9.0,9.0,10.0,10.0,10.0,6.0,20.0,8.0,8.0,9.0
cap_13.tiff,8.0,9.0,8.0,21.0,8.0,5.0,5.0,14.0,6.0,3.0,21.0,3.0,2.0,3.0,26.0,15.0,3.0,24.0,5.0,8.0,17.0,15.0,19.0,9.0,33.0,6.0,5.0,8.0,6.0,11.0,8.0,24.0,9.0,4.0,6.0,8.0,10.0,7.0,20.0,4.0,3.0,4.0
cap_14.tiff,7.0,9.0,7.0,18.0,5.0,3.0,3.0,11.0,6.0,4.0,25.0,3.0,1.0,2.0,30.0,9.0,2.0,26.0,5.0,6.0,8.0,13.0,12.0,10.0,30.0,6.0,5.0,7.0,11.0,11.0,8.0,22.0,6.0,5.0,6.0,8.0,9.0,7.0,19.0,5.0,3.0,4.0
