Preprocessing,Detector,Precision,Recall
CLAHE,KAZE,0.448,0.173
Hist Eq,KAZE,0.394,0.233
Gauss+Sharpen,KAZE,0.392,0.187
Log Norm,KAZE,0.38,0.221
Hist Eq,SIFT,0.371,0.16
Gamma(0.5),KAZE,0.352,0.199
Gauss+Sharpen,FAST_BRIEF,0.25,0.577
Linear,KAZE,0.232,0.135
Gauss+Sharpen,BRISK,0.171,0.441
Log Norm,SIFT,0.15,0.135
Gauss+Sharpen,FAST_FREAK,0.137,0.257
CLAHE,SIFT,0.115,0.078
Hist Eq,FAST_BRIEF,0.114,0.329
Hist Eq,FAST_FREAK,0.093,0.137
Gauss+Sharpen,ORB,0.087,0.224
Gauss+Sharpen,SIFT,0.086,0.063
Gamma(0.5),SIFT,0.079,0.073
Hist Eq,BRISK,0.072,0.242
CLAHE,ORB,0.055,0.165
Gauss+Sharpen,AKAZE,0.054,0.046
CLAHE,AKAZE,0.048,0.038
Linear,AKAZE,0.045,0.041
Hist Eq,ORB,0.041,0.031
Linear,BRISK,0.04,0.14
CLAHE,BRISK,0.035,0.09
CLAHE,FAST_FREAK,0.027,0.045
Linear,SIFT,0.022,0.02
Gamma(0.5),FAST_FREAK,0.01,0.012
Gamma(0.5),BRISK,0.01,0.045
CLAHE,FAST_BRIEF,0.009,0.02
Gamma(0.5),FAST_BRIEF,0.009,0.03
Gamma(0.5),AKAZE,0.008,0.008
Linear,FAST_FREAK,0.005,0.004
Gamma(0.5),ORB,0.0,0.0
Hist Eq,AKAZE,0.0,0.0
Linear,FAST_BRIEF,0.0,0.0
Linear,ORB,0.0,0.0
Log Norm,AKAZE,0.0,0.0
Log Norm,FAST_BRIEF,0.0,0.0
Log Norm,BRISK,0.0,0.0
Log Norm,FAST_FREAK,0.0,0.0
Log Norm,ORB,0.0,0.0
