Image 1,Image 2,Preprocessing,Detector,KP1,KP2,Matches,Inliers,Precision,Recall
cap_13.tiff,cap_16.tiff,Linear,SIFT,0,0,0,0,0.0,0.0
cap_13.tiff,cap_16.tiff,Linear,ORB,9,9,0,0,0.0,0.0
cap_13.tiff,cap_16.tiff,Linear,AKAZE,8,7,3,0,0.0,0.0
cap_13.tiff,cap_16.tiff,Linear,KAZE,21,11,11,7,0.636,0.636
cap_13.tiff,cap_16.tiff,Linear,BRISK,8,10,1,0,0.0,0.0
cap_13.tiff,cap_16.tiff,Linear,FAST_BRIEF,5,3,0,0,0.0,0.0
cap_13.tiff,cap_16.tiff,Linear,FAST_FREAK,5,4,1,0,0.0,0.0
cap_13.tiff,cap_16.tiff,Log Norm,SIFT,14,7,8,6,0.75,0.857
cap_13.tiff,cap_16.tiff,Log Norm,ORB,6,5,0,0,0.0,0.0
cap_13.tiff,cap_16.tiff,Log Norm,AKAZE,3,2,2,0,0.0,0.0
cap_13.tiff,cap_16.tiff,Log Norm,KAZE,21,20,11,8,0.727,0.4
cap_13.tiff,cap_16.tiff,Log Norm,BRISK,3,2,2,0,0.0,0.0
cap_13.tiff,cap_16.tiff,Log Norm,FAST_BRIEF,2,0,0,0,0.0,0.0
cap_13.tiff,cap_16.tiff,Log Norm,FAST_FREAK,3,3,1,0,0.0,0.0
cap_13.tiff,cap_16.tiff,Hist Eq,SIFT,26,20,8,8,1.0,0.4
cap_13.tiff,cap_16.tiff,Hist Eq,ORB,15,8,3,0,0.0,0.0
cap_13.tiff,cap_16.tiff,Hist Eq,AKAZE,3,1,0,0,0.0,0.0
cap_13.tiff,cap_16.tiff,Hist Eq,KAZE,24,16,12,5,0.417,0.312
cap_13.tiff,cap_16.tiff,Hist Eq,BRISK,5,4,0,0,0.0,0.0
cap_13.tiff,cap_16.tiff,Hist Eq,FAST_BRIEF,0,0,0,0,0.0,0.0
cap_13.tiff,cap_16.tiff,Hist Eq,FAST_FREAK,17,6,3,0,0.0,0.0
cap_13.tiff,cap_16.tiff,CLAHE,SIFT,15,9,6,3,0.5,0.333
cap_13.tiff,cap_16.tiff,CLAHE,ORB,19,7,3,0,0.0,0.0
cap_13.tiff,cap_16.tiff,CLAHE,AKAZE,0,0,0,0,0.0,0.0
cap_13.tiff,cap_16.tiff,CLAHE,KAZE,33,28,12,4,0.333,0.143
cap_13.tiff,cap_16.tiff,CLAHE,BRISK,6,8,1,0,0.0,0.0
cap_13.tiff,cap_16.tiff,CLAHE,FAST_BRIEF,5,2,1,0,0.0,0.0
cap_13.tiff,cap_16.tiff,CLAHE,FAST_FREAK,8,3,6,5,0.833,1.667
cap_13.tiff,cap_16.tiff,Gauss+Sharpen,SIFT,6,9,2,0,0.0,0.0
cap_13.tiff,cap_16.tiff,Gauss+Sharpen,ORB,11,14,2,0,0.0,0.0
cap_13.tiff,cap_16.tiff,Gauss+Sharpen,AKAZE,8,8,4,0,0.0,0.0
cap_13.tiff,cap_16.tiff,Gauss+Sharpen,KAZE,24,17,12,4,0.333,0.235
cap_13.tiff,cap_16.tiff,Gauss+Sharpen,BRISK,9,10,2,0,0.0,0.0
cap_13.tiff,cap_16.tiff,Gauss+Sharpen,FAST_BRIEF,4,3,0,0,0.0,0.0
cap_13.tiff,cap_16.tiff,Gauss+Sharpen,FAST_FREAK,6,5,1,0,0.0,0.0
cap_13.tiff,cap_16.tiff,Gamma(0.5),SIFT,0,0,0,0,0.0,0.0
cap_13.tiff,cap_16.tiff,Gamma(0.5),ORB,10,11,2,0,0.0,0.0
cap_13.tiff,cap_16.tiff,Gamma(0.5),AKAZE,7,7,3,0,0.0,0.0
cap_13.tiff,cap_16.tiff,Gamma(0.5),KAZE,20,14,10,6,0.6,0.429
cap_13.tiff,cap_16.tiff,Gamma(0.5),BRISK,4,8,2,0,0.0,0.0
cap_13.tiff,cap_16.tiff,Gamma(0.5),FAST_BRIEF,3,2,0,0,0.0,0.0
cap_13.tiff,cap_16.tiff,Gamma(0.5),FAST_FREAK,4,5,2,0,0.0,0.0
cap_01.tiff,cap_28.tiff,Linear,SIFT,5,5,1,0,0.0,0.0
cap_01.tiff,cap_28.tiff,Linear,ORB,8,2,0,0,0.0,0.0
cap_01.tiff,cap_28.tiff,Linear,AKAZE,6,7,3,0,0.0,0.0
cap_01.tiff,cap_28.tiff,Linear,KAZE,11,13,6,3,0.5,0.273
